time_id,MMM,AA,AXP,T,BAC,BA,CAT,CVX,CSCO,KO,DD,XOM,GE,HPQ,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,PFE,PG,TRV,UNH,RTX,VZ,WMT,DIS
3,83.08999633789062,39.57741165161133,40.810001373291016,28.40999984741211,15.239999771118164,55.720001220703125,57.650001525878906,78.19999694824219,24.110000610351562,28.579999923706055,40.136207580566406,68.72000122070312,117.07691955566406,23.405994415283203,29.149999618530273,20.790000915527344,125.41108703613281,64.70999908447266,41.790000915527344,62.630001068115234,35.13358688354492,30.6200008392334,17.333965301513672,61.11000061035156,50.150001525878906,31.3799991607666,44.185020446777344,31.32549285888672,53.7400016784668,32.5
4,82.80000305175781,40.44248962402344,40.83000183105469,28.700000762939453,15.739999771118164,56.25,58.54999923706055,79.22000122070312,24.600000381469727,28.424999237060547,41.27482223510742,69.19000244140625,118.92308044433594,23.67847442626953,28.729999542236328,20.940000534057617,125.88909912109375,64.58000183105469,42.790000915527344,62.65999984741211,35.59160232543945,30.850000381469727,17.950664520263672,61.130001068115234,49.630001068115234,31.729999542236328,45.084957122802734,31.29735565185547,54.09000015258789,32.06999969482422
5,83.87999725341797,39.192928314208984,41.22999954223633,27.950000762939453,16.209999084472656,58.22999954223633,59.18000030517578,79.44000244140625,24.540000915527344,28.174999237060547,44.0928955078125,69.44999694824219,119.46154022216797,23.8555850982666,28.8799991607666,20.809999465942383,124.93307495117188,63.900001525878906,43.45000076293945,62.20000076293945,35.5057258605957,30.8799991607666,17.7039852142334,60.939998626708984,48.2599983215332,31.600000381469727,44.4052848815918,30.61269760131836,53.5,31.899999618530273
6,83.31999969482422,39.69755935668945,41.2599983215332,27.579999923706055,16.68000030517578,59.5099983215332,59.29999923706055,79.36000061035156,24.299999237060547,28.165000915527344,44.13559341430664,69.9000015258789,119.07691955566406,23.701181411743164,28.860000610351562,20.729999542236328,124.15869903564453,64.25,43.790000915527344,61.25,35.75381851196289,30.6299991607666,17.685009002685547,60.58000183105469,47.81999969482422,31.59000015258789,44.05915832519531,30.106237411499023,53.720001220703125,31.770000457763672
7,83.69000244140625,39.55337905883789,41.7599983215332,27.290000915527344,16.979999542236328,61.540000915527344,59.25,79.12000274658203,24.3799991607666,27.729999542236328,43.77977752685547,69.69000244140625,125.46154022216797,23.660308837890625,29.0,20.540000915527344,123.39388275146484,63.91999816894531,44.369998931884766,62.27000045776367,36.135494232177734,30.280000686645508,17.666034698486328,60.36000061035156,48.650001525878906,32.86000061035156,44.216487884521484,29.693565368652344,53.43000030517578,31.65999984741211
10,84.37999725341797,42.02846908569336,41.7400016784668,27.18000030517578,16.989999771118164,61.95000076293945,60.95000076293945,80.16999816894531,24.639999389648438,27.575000762939453,45.03225326538086,69.94000244140625,129.46153259277344,23.878292083740234,29.0,21.110000610351562,125.2963638305664,64.75,45.119998931884766,62.02000045776367,36.14503860473633,30.709999084472656,17.86527442932129,60.08000183105469,48.70000076293945,32.709999084472656,44.512271881103516,29.984310150146484,53.33000183105469,31.530000686645508
11,83.58000183105469,38.736358642578125,41.27000045776367,26.850000381469727,16.719999313354492,60.06999969482422,63.0099983215332,79.5199966430664,24.440000534057617,28.045000076293945,43.267398834228516,69.72000122070312,127.53845977783203,23.62851905822754,28.149999618530273,20.8700008392334,123.35564422607422,64.12999725341797,43.9900016784668,62.029998779296875,36.08778762817383,30.149999618530273,17.836811065673828,60.70000076293945,48.9900016784668,32.70000076293945,45.18564987182617,29.80611228942871,54.0,31.020000457763672
12,84.11000061035156,37.89530944824219,41.849998474121094,27.0,16.43000030517578,60.61000061035156,62.099998474121094,80.2699966430664,24.280000686645508,28.43000030517578,43.8794059753418,69.95999908447266,128.92308044433594,23.70572280883789,28.0,20.719999313354492,124.65583038330078,64.54000091552734,43.54999923706055,62.86000061035156,36.55534362792969,30.260000228881836,17.903226852416992,61.040000915527344,48.93000030517578,31.989999771118164,45.198238372802734,29.965553283691406,54.790000915527344,30.889999389648438
13,83.73999786376953,38.42396926879883,42.040000915527344,26.639999389648438,16.6299991607666,61.029998779296875,62.099998474121094,79.62999725341797,24.579999923706055,28.520000457763672,43.46665954589844,69.54000091552734,129.15383911132812,23.719345092773438,28.1200008392334,21.110000610351562,124.80879211425781,65.19999694824219,44.20000076293945,62.560001373291016,37.4427490234375,30.309999465942383,18.216318130493164,61.41999816894531,48.93000030517578,32.68000030517578,45.462554931640625,29.8436279296875,54.72999954223633,31.1299991607666
14,83.5199966430664,37.871280670166016,42.52000045776367,26.25,16.639999389648438,61.529998779296875,61.45000076293945,79.54000091552734,25.0,28.475000381469727,43.46665954589844,69.6500015258789,128.3076934814453,23.88283348083496,28.309999465942383,21.389999389648438,126.22370910644531,65.13999938964844,44.29999923706055,62.66999816894531,38.14885330200195,31.079999923706055,18.434534072875977,61.599998474121094,49.11000061035156,33.540000915527344,45.833858489990234,29.262136459350586,54.34000015258789,31.010000228881836
18,83.81999969482422,37.43873977661133,42.2400016784668,25.920000076293945,16.059999465942383,60.599998474121094,59.7599983215332,78.95999908447266,24.540000915527344,28.110000610351562,42.29957580566406,68.73999786376953,125.76923370361328,23.660308837890625,28.459999084472656,20.899999618530273,125.84130096435547,64.13999938964844,43.400001525878906,62.900001525878906,37.738548278808594,30.75,18.52941131591797,60.79999923706055,48.75,34.560001373291016,45.30522155761719,28.830707550048828,53.90999984741211,30.59000015258789
